GO_term term CLIN1_Pr NOCLIN_Pr CLIN1_Abs NOCLIN_Abs
GO 6397 23 97 0 0
GO 6399 23 97 0 0
GO 6400 23 97 0 0
GO 6401 23 97 0 0
GO 6402 23 97 0 0
GO 6412 23 97 0 0
GO 6413 23 97 0 0
GO 6414 23 97 0 0
GO 6415 23 97 0 0
GO 6417 23 97 0 0
GO 6418 23 97 0 0
GO 6419 23 97 0 0
GO 6420 22 97 1 0
GO 6421 23 97 0 0
GO 6422 23 97 0 0
GO 6423 23 97 0 0
GO 6424 23 96 0 1
GO 6425 23 97 0 0
GO 6426 23 96 0 1
GO 6427 23 97 0 0
GO 6428 23 97 0 0
GO 6429 23 97 0 0
GO 6430 0 1 23 96
GO 6431 23 97 0 0
GO 6432 23 95 0 2
GO 6433 23 96 0 1
GO 6434 23 97 0 0
GO 6435 23 97 0 0
GO 6436 22 96 1 1
GO 6437 23 97 0 0
GO 6438 23 97 0 0
GO 6446 23 97 0 0
GO 6448 23 97 0 0
GO 6450 23 97 0 0
GO 6451 22 29 1 68
GO 6457 23 97 0 0
GO 6458 23 97 0 0
GO 6464 23 97 0 0
GO 6465 23 97 0 0
GO 6468 23 97 0 0
GO 6470 23 97 0 0
GO 6473 23 97 0 0
GO 6474 23 97 0 0
GO 6475 23 95 0 2
GO 6476 23 97 0 0
GO 6479 23 97 0 0
GO 6480 23 97 0 0
GO 6482 1 19 22 78
GO 6486 21 97 2 0
GO 6487 21 97 2 0
GO 6497 0 0 23 97
GO 6508 23 97 0 0
GO 6511 23 96 0 1
GO 6515 23 97 0 0
GO 6517 0 4 23 93
GO 6518 23 97 0 0
GO 6520 23 97 0 0
GO 6521 23 97 0 0
